Team ID,College Name
2891,Bangalore Institute of Technology
2898,"Indian Institute of Technology, Kharagpur"
2900,Shri Vaishnav Vidyapeeth Vishwavidyalaya Indore
2906,Jawaharlal Nehru University
2913,Thiagarajar College of Engineering
2914,"Indian Institute of Technology, Bombay"
2922,Dr B R Ambedkar National Institute of Technology Jalandhar
2936,K. J. Somaiya College of Engineering
2949,Dr B R Ambedkar National Institute of Technology Jalandhar
9999,"Indian Institute of Technology, Bombay"
2974,"Indian Institute of Technology, Bombay"
1847,"Indian Institute of Technology, Bombay"
